Cactus,Woodpecker
9.8,11.4
9.7,9.6
9.5,8.5
9.8,10.2
9.8,9.8
9.8,12.3
10.2,10.5
10.1,9.5
9.7,9.5
9.9,11.6
10.0,10.2
9.8,8.7
9.9,11.0
9.7,10.4
9.5,10.1
9.7,9.4
9.8,12.1
10.2,11.2
10.0,11.0
10.1,9.9
9.7,10.1
9.8,9.6
9.7,10.2
10.1,10.8
10.1,10.2
9.8,9.7
9.9,11.3
9.8,8.4
9.4,9.1
10.1,9.5
10.3,9.6
10.0,8.5
10.1,11.5
10.2,10.2
9.7,10.6
10.1,9.7
10.2,10.0
10.0,8.2
9.8,9.7
9.6,9.8
10.0,10.2
9.7,9.7
9.6,9.5
9.8,11.1
9.5,9.7
10.2,9.0
9.9,9.7
10.5,10.8
9.9,9.7
9.7,9.5
10.2,10.7
9.8,10.2
9.9,10.0
9.8,9.9
10.1,9.2
10.1,10.2
9.8,10.8
9.8,10.2
10.1,10.3
10.4,9.3
9.8,9.3
10.1,11.5
9.7,9.3
10.2,8.1
9.7,9.7
10.4,9.0
10.1,11.5
10.3,10.9
10.2,7.9
9.9,8.7
10.1,8.2
10.1,9.9
9.7,8.3
10.0,9.1
10.0,11.0
9.9,10.7
9.3,11.6
9.8,11.3
10.0,11.4
10.2,8.6
10.0,11.4
9.8,9.4
9.5,10.6
9.7,10.3
9.8,10.7
9.9,9.7
9.7,11.6
9.7,10.3
10.1,11.6
9.8,10.8
9.9,10.8
10.0,9.7
10.3,10.2
9.8,9.7
10.8,11.2
10.1,9.0
10.2,8.8
10.4,9.5
10.2,8.7
9.7,9.3
